< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
05/15/2020 14:20'00,43966.59722,28,22.4,,,,,,
05/15/2020 14:40'00,43966.61111,27.2,22.5,,,,,,
05/15/2020 15:00'00,43966.625,24.2,22.3,,,,,,
05/15/2020 15:20'00,43966.63889,23.7,22.2,,,,,,
05/15/2020 15:40'00,43966.65278,23,22,,,,,,
05/15/2020 16:00'00,43966.66667,25.4,22,,,,,,
05/15/2020 16:20'00,43966.68056,25.4,22,,,,,,
05/15/2020 16:40'00,43966.69444,23.5,22,,,,,,
05/15/2020 17:00'00,43966.70833,22.7,21.9,,,,,,
05/15/2020 17:20'00,43966.72222,22,21.7,,,,,,
05/15/2020 17:40'00,43966.73611,21.4,21.6,,,,,,
05/15/2020 18:00'00,43966.75,21,21.4,,,,,,
05/15/2020 18:20'00,43966.76389,20.6,21.3,,,,,,
05/15/2020 18:40'00,43966.77778,20.2,21.2,,,,,,
05/15/2020 19:00'00,43966.79167,20.1,21.1,,,,,,
05/15/2020 19:20'00,43966.80556,19.9,20.9,,,,,,
05/15/2020 19:40'00,43966.81944,19.7,20.7,,,,,,
05/15/2020 20:00'00,43966.83333,19.6,20.6,,,,,,
05/15/2020 20:20'00,43966.84722,19.6,20.5,,,,,,
05/15/2020 20:40'00,43966.86111,19.5,20.4,,,,,,
05/15/2020 21:00'00,43966.875,19.4,20.3,,,,,,
05/15/2020 21:20'00,43966.88889,19.4,20.2,,,,,,
05/15/2020 21:40'00,43966.90278,19.3,20.2,,,,,,
05/15/2020 22:00'00,43966.91667,19.3,20.2,,,,,,
05/15/2020 22:20'00,43966.93056,19.3,20.2,,,,,,
05/15/2020 22:40'00,43966.94444,19.3,20.2,,,,,,
05/15/2020 23:00'00,43966.95833,19.3,20.1,,,,,,
05/15/2020 23:20'00,43966.97222,19.2,20.1,,,,,,
05/15/2020 23:40'00,43966.98611,19.2,20.1,,,,,,
05/16/2020 00:00'00,43967,19.2,20,,,,,,
05/16/2020 00:20'00,43967.01389,18.7,20,,,,,,
05/16/2020 00:40'00,43967.02778,18.5,20,,,,,,
05/16/2020 01:00'00,43967.04167,18.4,20,,,,,,
05/16/2020 01:20'00,43967.05556,18.1,19.9,,,,,,
05/16/2020 01:40'00,43967.06944,18,19.9,,,,,,
05/16/2020 02:00'00,43967.08333,17.8,19.8,,,,,,
05/16/2020 02:20'00,43967.09722,17.7,19.8,,,,,,
05/16/2020 02:40'00,43967.11111,17.7,19.8,,,,,,
05/16/2020 03:00'00,43967.125,17.8,19.8,,,,,,
05/16/2020 03:20'00,43967.13889,17.6,19.7,,,,,,
05/16/2020 03:40'00,43967.15278,17.7,19.7,,,,,,
05/16/2020 04:00'00,43967.16667,17.8,19.7,,,,,,
05/16/2020 04:20'00,43967.18056,17.6,19.6,,,,,,
05/16/2020 04:40'00,43967.19444,17.6,19.6,,,,,,
05/16/2020 05:00'00,43967.20833,17.1,19.6,,,,,,
05/16/2020 05:20'00,43967.22222,17.4,19.6,,,,,,
05/16/2020 05:40'00,43967.23611,17.3,19.5,,,,,,
05/16/2020 06:00'00,43967.25,17.3,19.5,,,,,,
05/16/2020 06:20'00,43967.26389,17.2,19.5,,,,,,
05/16/2020 06:40'00,43967.27778,16.6,19.3,,,,,,
05/16/2020 07:00'00,43967.29167,16.7,19.3,,,,,,
05/16/2020 07:20'00,43967.30556,17,19.2,,,,,,
05/16/2020 07:40'00,43967.31944,17.5,19.2,,,,,,
05/16/2020 08:00'00,43967.33333,17.9,19.3,,,,,,
05/16/2020 08:20'00,43967.34722,18.3,19.2,,,,,,
05/16/2020 08:40'00,43967.36111,18.2,19.3,,,,,,
05/16/2020 09:00'00,43967.375,18.5,19.3,,,,,,
05/16/2020 09:20'00,43967.38889,19.2,19.4,,,,,,
05/16/2020 09:40'00,43967.40278,18.7,19.7,,,,,,
05/16/2020 10:00'00,43967.41667,18.3,19.5,,,,,,
05/16/2020 10:20'00,43967.43056,18.7,19.4,,,,,,
05/16/2020 10:40'00,43967.44444,18.6,19.4,,,,,,
05/16/2020 11:00'00,43967.45833,18.9,19.4,,,,,,
05/16/2020 11:20'00,43967.47222,18.4,19.4,,,,,,
05/16/2020 11:40'00,43967.48611,18.3,19.4,,,,,,
05/16/2020 12:00'00,43967.5,17.7,19.3,,,,,,
05/16/2020 12:20'00,43967.51389,18.1,19.3,,,,,,
05/16/2020 12:40'00,43967.52778,18.7,19.3,,,,,,
05/16/2020 13:00'00,43967.54167,18.4,19.3,,,,,,
05/16/2020 13:20'00,43967.55556,18.2,19.3,,,,,,
05/16/2020 13:40'00,43967.56944,18.3,19.4,,,,,,
05/16/2020 14:00'00,43967.58333,18.2,19.3,,,,,,
05/16/2020 14:20'00,43967.59722,18.7,19.3,,,,,,
05/16/2020 14:40'00,43967.61111,17.6,19.4,,,,,,
05/16/2020 15:00'00,43967.625,18,19.4,,,,,,
05/16/2020 15:20'00,43967.63889,17.9,19.4,,,,,,
05/16/2020 15:40'00,43967.65278,17.3,19.4,,,,,,
05/16/2020 16:00'00,43967.66667,17.7,19.3,,,,,,
05/16/2020 16:20'00,43967.68056,17.2,19.8,,,,,,
05/16/2020 16:40'00,43967.69444,16.8,23.5,,,,,,
05/16/2020 17:00'00,43967.70833,16.9,23.6,,,,,,
05/16/2020 17:20'00,43967.72222,17.1,23.7,,,,,,
05/16/2020 17:40'00,43967.73611,16.7,23.6,,,,,,
05/16/2020 18:00'00,43967.75,16.8,23.7,,,,,,
05/16/2020 18:20'00,43967.76389,16.8,23.6,,,,,,
05/16/2020 18:40'00,43967.77778,16.8,23.6,,,,,,
05/16/2020 19:00'00,43967.79167,16.8,23.6,,,,,,
05/16/2020 19:20'00,43967.80556,16.9,23.6,,,,,,
05/16/2020 19:40'00,43967.81944,17,23.6,,,,,,
05/16/2020 20:00'00,43967.83333,17.2,23.7,,,,,,
05/16/2020 20:20'00,43967.84722,17.2,23.7,,,,,,
05/16/2020 20:40'00,43967.86111,17.1,23.7,,,,,,
05/16/2020 21:00'00,43967.875,17.3,23.6,,,,,,
05/16/2020 21:20'00,43967.88889,17.4,23.7,,,,,,
05/16/2020 21:40'00,43967.90278,17.6,23.7,,,,,,
05/16/2020 22:00'00,43967.91667,17.4,23.7,,,,,,
05/16/2020 22:20'00,43967.93056,17.5,23.7,,,,,,
05/16/2020 22:40'00,43967.94444,17.5,23.7,,,,,,
05/16/2020 23:00'00,43967.95833,17.6,23.7,,,,,,
05/16/2020 23:20'00,43967.97222,17.5,23.7,,,,,,
05/16/2020 23:40'00,43967.98611,17.5,23.7,,,,,,
05/17/2020 00:00'00,43968,17.4,23.7,,,,,,
05/17/2020 00:20'00,43968.01389,17.3,23.6,,,,,,
05/17/2020 00:40'00,43968.02778,17.3,23.7,,,,,,
05/17/2020 01:00'00,43968.04167,17.2,23.6,,,,,,
05/17/2020 01:20'00,43968.05556,17.2,23.6,,,,,,
05/17/2020 01:40'00,43968.06944,17.2,23.5,,,,,,
05/17/2020 02:00'00,43968.08333,17.1,23.5,,,,,,
05/17/2020 02:20'00,43968.09722,17.1,23.4,,,,,,
05/17/2020 02:40'00,43968.11111,16.9,23.4,,,,,,
05/17/2020 03:00'00,43968.125,16.7,23.3,,,,,,
05/17/2020 03:20'00,43968.13889,16.7,23.3,,,,,,
05/17/2020 03:40'00,43968.15278,16.7,23.2,,,,,,
05/17/2020 04:00'00,43968.16667,16.6,23.2,,,,,,
05/17/2020 04:20'00,43968.18056,16.6,23.1,,,,,,
05/17/2020 04:40'00,43968.19444,16.6,23.1,,,,,,
05/17/2020 05:00'00,43968.20833,16.7,23.1,,,,,,
05/17/2020 05:20'00,43968.22222,17,23.1,,,,,,
05/17/2020 05:40'00,43968.23611,17.1,23.1,,,,,,
05/17/2020 06:00'00,43968.25,20,23.3,,,,,,
05/17/2020 06:20'00,43968.26389,19,23.3,,,,,,
05/17/2020 06:40'00,43968.27778,19.7,23.5,,,,,,
05/17/2020 07:00'00,43968.29167,22.9,24,,,,,,
05/17/2020 07:20'00,43968.30556,22,24.2,,,,,,
05/17/2020 07:40'00,43968.31944,26,24.8,,,,,,
05/17/2020 08:00'00,43968.33333,28.1,25.4,,,,,,
05/17/2020 08:20'00,43968.34722,26,25.8,,,,,,
05/17/2020 08:40'00,43968.36111,27.8,25.6,,,,,,
05/17/2020 09:00'00,43968.375,28.1,25.8,,,,,,
05/17/2020 09:20'00,43968.38889,28.7,25.7,,,,,,
05/17/2020 09:40'00,43968.40278,28.4,25.5,,,,,,
05/17/2020 10:00'00,43968.41667,30.4,25.2,,,,,,
05/17/2020 10:20'00,43968.43056,29,25.3,,,,,,
05/17/2020 10:40'00,43968.44444,29.2,25.5,,,,,,
05/17/2020 11:00'00,43968.45833,29.5,25.7,,,,,,
05/17/2020 11:20'00,43968.47222,30.4,26.4,,,,,,
05/17/2020 11:40'00,43968.48611,32.8,27,,,,,,
05/17/2020 12:00'00,43968.5,31.8,27.6,,,,,,
05/17/2020 12:20'00,43968.51389,31.8,27.8,,,,,,
05/17/2020 12:40'00,43968.52778,31,27.5,,,,,,
05/17/2020 13:00'00,43968.54167,30.3,27.2,,,,,,
05/17/2020 13:20'00,43968.55556,28.1,27.1,,,,,,
05/17/2020 13:40'00,43968.56944,27.6,26.8,,,,,,
05/17/2020 14:00'00,43968.58333,28.2,26.7,,,,,,
05/17/2020 14:20'00,43968.59722,27.2,26.6,,,,,,
05/17/2020 14:40'00,43968.61111,27.3,26.5,,,,,,
05/17/2020 15:00'00,43968.625,27.2,26.5,,,,,,
05/17/2020 15:20'00,43968.63889,27.7,26.4,,,,,,
05/17/2020 15:40'00,43968.65278,27.5,26.2,,,,,,
05/17/2020 16:00'00,43968.66667,28.1,26.1,,,,,,
05/17/2020 16:20'00,43968.68056,27.1,26,,,,,,
05/17/2020 16:40'00,43968.69444,26.4,25.9,,,,,,
05/17/2020 17:00'00,43968.70833,26,25.8,,,,,,
